Date,Open,High,Low,Close,Adj Close,Volume
2020-03-30,3150.000000,3150.000000,3010.000000,3010.000000,3010.000000,217509200
2020-03-31,3100.000000,3200.000000,2970.000000,3020.000000,3020.000000,314996600
2020-04-01,3010.000000,3080.000000,2900.000000,2930.000000,2930.000000,271743600
2020-04-02,2850.000000,2900.000000,2800.000000,2870.000000,2870.000000,299882400
2020-04-03,2930.000000,2950.000000,2830.000000,2890.000000,2890.000000,293146900
2020-04-06,2950.000000,3030.000000,2910.000000,3020.000000,3020.000000,285099900
2020-04-07,3100.000000,3240.000000,2950.000000,3030.000000,3030.000000,405389200
2020-04-08,3000.000000,3040.000000,2820.000000,2820.000000,2820.000000,292946600
2020-04-09,2860.000000,2910.000000,2750.000000,2790.000000,2790.000000,265787000
2020-04-13,2790.000000,2840.000000,2700.000000,2770.000000,2770.000000,123731400
2020-04-14,2790.000000,2900.000000,2770.000000,2900.000000,2900.000000,219734000
2020-04-15,2900.000000,2990.000000,2730.000000,2760.000000,2760.000000,319095100
2020-04-16,2770.000000,2770.000000,2580.000000,2610.000000,2610.000000,367748800
2020-04-17,2670.000000,2840.000000,2660.000000,2830.000000,2830.000000,402325500
2020-04-20,2880.000000,2900.000000,2760.000000,2780.000000,2780.000000,222008500
2020-04-21,2750.000000,2790.000000,2690.000000,2720.000000,2720.000000,132873300
2020-04-22,2700.000000,2830.000000,2650.000000,2790.000000,2790.000000,179543300
2020-04-23,2830.000000,2880.000000,2790.000000,2800.000000,2800.000000,216170700
2020-04-24,2800.000000,2800.000000,2630.000000,2630.000000,2630.000000,293711300
2020-04-27,2680.000000,2700.000000,2610.000000,2660.000000,2660.000000,182608400
2020-04-28,2680.000000,2690.000000,2570.000000,2590.000000,2590.000000,268296100
2020-04-29,2600.000000,2620.000000,2560.000000,2580.000000,2580.000000,209136400
2020-04-30,2620.000000,2740.000000,2610.000000,2730.000000,2730.000000,432073900
2020-05-04,2670.000000,2680.000000,2600.000000,2630.000000,2630.000000,200608900
2020-05-05,2630.000000,2680.000000,2610.000000,2630.000000,2630.000000,184761500
2020-05-06,2630.000000,2650.000000,2600.000000,2620.000000,2620.000000,173052900
2020-05-08,2640.000000,2660.000000,2580.000000,2590.000000,2590.000000,205764900
2020-05-11,2630.000000,2640.000000,2600.000000,2620.000000,2620.000000,154599200
2020-05-12,2620.000000,2630.000000,2470.000000,2490.000000,2490.000000,368672700
2020-05-13,2460.000000,2520.000000,2440.000000,2470.000000,2470.000000,338592200
2020-05-14,2440.000000,2480.000000,2330.000000,2350.000000,2350.000000,470265100
2020-05-15,2380.000000,2400.000000,2210.000000,2240.000000,2240.000000,594658300
2020-05-18,2250.000000,2270.000000,2160.000000,2170.000000,2170.000000,455462600
2020-05-19,2250.000000,2420.000000,2250.000000,2370.000000,2370.000000,531310100
2020-05-20,2360.000000,2500.000000,2320.000000,2480.000000,2480.000000,394395900
2020-05-26,2550.000000,2550.000000,2470.000000,2520.000000,2520.000000,404097300
2020-05-27,2540.000000,2630.000000,2520.000000,2630.000000,2630.000000,432813000
2020-05-28,2640.000000,2780.000000,2640.000000,2730.000000,2730.000000,453391300
2020-05-29,2700.000000,2950.000000,2700.000000,2950.000000,2950.000000,872607300
2020-06-02,2950.000000,3290.000000,2950.000000,3180.000000,3180.000000,467460800
2020-06-03,3200.000000,3280.000000,3010.000000,3100.000000,3100.000000,438099000
2020-06-04,3120.000000,3200.000000,3030.000000,3060.000000,3060.000000,250143200
2020-06-05,3070.000000,3130.000000,2960.000000,3110.000000,3110.000000,267393400
2020-06-08,3180.000000,3370.000000,3170.000000,3300.000000,3300.000000,384332100
2020-06-09,3350.000000,3360.000000,3210.000000,3210.000000,3210.000000,254497400
2020-06-10,3180.000000,3180.000000,3000.000000,3030.000000,3030.000000,443231300
2020-06-11,3130.000000,3130.000000,2900.000000,2970.000000,2970.000000,372347500
2020-06-12,2900.000000,3040.000000,2800.000000,3030.000000,3030.000000,472128400
2020-06-15,3040.000000,3050.000000,2890.000000,2900.000000,2900.000000,230766700
2020-06-16,2970.000000,3150.000000,2960.000000,3130.000000,3130.000000,338682000
2020-06-17,3200.000000,3200.000000,3080.000000,3100.000000,3100.000000,218180800
2020-06-18,3050.000000,3120.000000,3040.000000,3050.000000,3050.000000,130942600
2020-06-19,3080.000000,3110.000000,3060.000000,3100.000000,3100.000000,166969600
2020-06-22,3100.000000,3110.000000,3030.000000,3060.000000,3060.000000,95377000
2020-06-23,3020.000000,3060.000000,2980.000000,3010.000000,3010.000000,171421500
2020-06-24,3050.000000,3140.000000,3010.000000,3120.000000,3120.000000,308484300
2020-06-25,3100.000000,3110.000000,3040.000000,3060.000000,3060.000000,158209300
2020-06-26,3100.000000,3120.000000,3020.000000,3030.000000,3030.000000,147306200
2020-06-29,3040.000000,3060.000000,2980.000000,3040.000000,3040.000000,118809900
2020-06-30,3070.000000,3110.000000,3030.000000,3030.000000,3030.000000,134014700
2020-07-01,3040.000000,3070.000000,3030.000000,3060.000000,3060.000000,101290700
2020-07-02,3090.000000,3090.000000,3040.000000,3060.000000,3060.000000,169484600
2020-07-03,3060.000000,3090.000000,3040.000000,3050.000000,3050.000000,49472800
2020-07-06,3070.000000,3100.000000,3030.000000,3040.000000,3040.000000,134677700
2020-07-07,3070.000000,3080.000000,3030.000000,3030.000000,3030.000000,207371700
2020-07-08,3040.000000,3200.000000,3030.000000,3190.000000,3190.000000,339667600
2020-07-09,3190.000000,3230.000000,3140.000000,3140.000000,3140.000000,192182300
2020-07-10,3130.000000,3150.000000,3100.000000,3110.000000,3110.000000,107116200
2020-07-13,3130.000000,3180.000000,3050.000000,3160.000000,3160.000000,95863700
2020-07-14,3160.000000,3250.000000,3130.000000,3170.000000,3170.000000,211237700
2020-07-15,3200.000000,3240.000000,3130.000000,3130.000000,3130.000000,165721200
2020-07-16,3130.000000,3160.000000,3130.000000,3140.000000,3140.000000,117097200
2020-07-17,3140.000000,3150.000000,3100.000000,3100.000000,3100.000000,119587700
2020-07-20,3100.000000,3130.000000,3030.000000,3050.000000,3050.000000,136548700
2020-07-21,3050.000000,3180.000000,3050.000000,3150.000000,3150.000000,204157000
2020-07-22,3160.000000,3170.000000,3090.000000,3100.000000,3100.000000,173557500
2020-07-23,3120.000000,3160.000000,3100.000000,3140.000000,3140.000000,147857700
2020-07-24,3130.000000,3140.000000,3090.000000,3090.000000,3090.000000,94805600
2020-07-27,3090.000000,3150.000000,3090.000000,3150.000000,3150.000000,94516900
2020-07-28,3160.000000,3170.000000,3100.000000,3140.000000,3140.000000,103419800
2020-07-29,3140.000000,3150.000000,3100.000000,3120.000000,3120.000000,67176700
2020-07-30,3130.000000,3170.000000,3110.000000,3160.000000,3160.000000,78478700
2020-08-03,3170.000000,3180.000000,2970.000000,2990.000000,2990.000000,339279900
2020-08-04,3000.000000,3080.000000,3000.000000,3080.000000,3080.000000,156288000
2020-08-05,3100.000000,3110.000000,3040.000000,3080.000000,3080.000000,161496000
2020-08-06,3100.000000,3130.000000,3090.000000,3110.000000,3110.000000,114602400
2020-08-07,3110.000000,3130.000000,3060.000000,3110.000000,3110.000000,89917300
2020-08-10,3110.000000,3150.000000,3100.000000,3130.000000,3130.000000,91465200
2020-08-11,3130.000000,3220.000000,3130.000000,3190.000000,3190.000000,172459100
2020-08-12,3190.000000,3370.000000,3190.000000,3350.000000,3350.000000,459419200
2020-08-13,3350.000000,3450.000000,3300.000000,3330.000000,3330.000000,214222600
2020-08-14,3330.000000,3350.000000,3280.000000,3340.000000,3340.000000,99152200
2020-08-18,3340.000000,3530.000000,3340.000000,3520.000000,3520.000000,262001000
2020-08-19,3520.000000,3640.000000,3520.000000,3560.000000,3560.000000,217533000
2020-08-24,3530.000000,3650.000000,3520.000000,3640.000000,3640.000000,194972300
2020-08-25,3670.000000,3800.000000,3640.000000,3800.000000,3800.000000,179300000
2020-08-26,3800.000000,3820.000000,3700.000000,3740.000000,3740.000000,161962800
2020-08-27,3740.000000,3780.000000,3660.000000,3700.000000,3700.000000,187984900
2020-08-28,3710.000000,3740.000000,3650.000000,3690.000000,3690.000000,77888200
2020-08-31,3700.000000,3740.000000,3500.000000,3510.000000,3510.000000,266042400
2020-09-01,3550.000000,3630.000000,3480.000000,3610.000000,3610.000000,196959300
2020-09-02,3620.000000,3660.000000,3590.000000,3660.000000,3660.000000,106924600
2020-09-03,3660.000000,3690.000000,3550.000000,3580.000000,3580.000000,179612400
2020-09-04,3610.000000,3610.000000,3480.000000,3550.000000,3550.000000,134555700
2020-09-07,3550.000000,3570.000000,3500.000000,3510.000000,3510.000000,94814200
2020-09-08,3510.000000,3570.000000,3510.000000,3520.000000,3520.000000,81381900
2020-09-09,3480.000000,3490.000000,3380.000000,3410.000000,3410.000000,178435500
2020-09-10,3300.000000,3300.000000,3180.000000,3180.000000,3180.000000,277847900
2020-09-11,3020.000000,3310.000000,3010.000000,3250.000000,3250.000000,583497600
2020-09-14,3300.000000,3450.000000,3300.000000,3440.000000,3440.000000,275888700
2020-09-15,3440.000000,3460.000000,3310.000000,3330.000000,3330.000000,195531100
2020-09-16,3370.000000,3390.000000,3240.000000,3260.000000,3260.000000,138529300
2020-09-17,3270.000000,3310.000000,3170.000000,3200.000000,3200.000000,167611400
2020-09-18,3200.000000,3270.000000,3190.000000,3220.000000,3220.000000,202880500
2020-09-21,3200.000000,3250.000000,3150.000000,3190.000000,3190.000000,114168800
2020-09-22,3110.000000,3190.000000,3100.000000,3130.000000,3130.000000,134585500
2020-09-23,3170.000000,3180.000000,3050.000000,3080.000000,3080.000000,120607900
2020-09-24,3030.000000,3080.000000,3010.000000,3030.000000,3030.000000,164151300
2020-09-25,3060.000000,3180.000000,3040.000000,3160.000000,3160.000000,169418100
